feature,importance
power_std,0.4656519479157372
power_spread,0.3786620786924943
power_gradient,0.078272681270026
power,0.03063130778606841
delta_eg,0.013924946286221316
delta_kz_abs,0.007331528291854848
delta_az,0.004558371570059701
delta_kz,0.003742963911135995
delta_sz,0.0032423173449449613
delta_ak,0.002885224261054645
delta_eg_abs,0.002880044341668764
delta_az_abs,0.0023122038421503122
outdoor_temp,0.0022280163379934047
delta_ak_abs,0.001850388685712362
delta_sz_abs,0.000660363618763987
hour_cos,0.0005955920594746901
hour_sin,0.0005228511162045011
outdoor_gradient,4.717266843449004e-05
