time,value
2026-02-12 19:53:00+00:00,407.5
2026-02-12 19:58:00+00:00,420.5
2026-02-12 19:59:00+00:00,468.0
2026-02-12 20:00:00+00:00,403.8888888888889
2026-02-12 20:04:00+00:00,382.0
2026-02-12 20:05:00+00:00,440.3333333333333
2026-02-12 20:06:00+00:00,428.4
2026-02-12 20:07:00+00:00,373.25
2026-02-12 20:11:00+00:00,420.6
2026-02-12 20:12:00+00:00,454.0
2026-02-12 20:13:00+00:00,396.4
2026-02-12 20:14:00+00:00,353.6
2026-02-12 20:15:00+00:00,348.0
2026-02-12 20:16:00+00:00,360.0
2026-02-12 20:17:00+00:00,407.5
2026-02-12 20:18:00+00:00,460.25
2026-02-12 20:19:00+00:00,424.375
2026-02-12 20:20:00+00:00,350.0
2026-02-12 20:21:00+00:00,360.0
2026-02-12 20:22:00+00:00,354.0
2026-02-12 20:24:00+00:00,420.5
2026-02-12 20:25:00+00:00,451.6666666666667
2026-02-12 20:26:00+00:00,416.9
2026-02-12 20:27:00+00:00,350.0
2026-02-12 20:28:00+00:00,354.0
2026-02-12 20:30:00+00:00,409.5
2026-02-12 20:31:00+00:00,464.5
2026-02-12 20:32:00+00:00,405.875
2026-02-12 20:33:00+00:00,351.2
2026-02-12 20:34:00+00:00,356.0
2026-02-12 20:37:00+00:00,422.0
2026-02-12 20:38:00+00:00,451.6666666666667
2026-02-12 20:39:00+00:00,381.42857142857144
2026-02-12 20:40:00+00:00,358.0
2026-02-12 20:43:00+00:00,392.0
2026-02-12 20:44:00+00:00,447.25
2026-02-12 20:45:00+00:00,414.22222222222223
2026-02-12 20:46:00+00:00,354.0
2026-02-12 20:50:00+00:00,425.77777777777777
2026-02-12 20:51:00+00:00,454.0
2026-02-12 20:52:00+00:00,413.6363636363636
2026-02-12 20:53:00+00:00,354.0
2026-02-12 20:56:00+00:00,379.5
2026-02-12 20:57:00+00:00,440.77777777777777
2026-02-12 20:58:00+00:00,437.1111111111111
2026-02-12 20:59:00+00:00,368.2
2026-02-12 21:00:00+00:00,360.0
2026-02-12 21:03:00+00:00,425.77777777777777
2026-02-12 21:04:00+00:00,454.0
2026-02-12 21:05:00+00:00,392.875
2026-02-12 21:06:00+00:00,350.0
2026-02-12 21:07:00+00:00,352.4
2026-02-12 21:09:00+00:00,407.5
2026-02-12 21:10:00+00:00,462.3333333333333
2026-02-12 21:11:00+00:00,402.77777777777777
2026-02-12 21:12:00+00:00,344.0
2026-02-12 21:13:00+00:00,353.5
2026-02-12 21:14:00+00:00,354.0
2026-02-12 21:15:00+00:00,354.0
2026-02-12 21:16:00+00:00,420.5
2026-02-12 21:18:00+00:00,396.3
2026-02-12 21:19:00+00:00,355.5
2026-02-12 21:22:00+00:00,409.5
2026-02-12 21:23:00+00:00,457.5
2026-02-12 21:24:00+00:00,421.9166666666667
2026-02-12 21:25:00+00:00,351.6666666666667
2026-02-12 21:26:00+00:00,360.0
2026-02-12 21:29:00+00:00,422.0
2026-02-12 21:31:00+00:00,393.1111111111111
2026-02-12 21:32:00+00:00,356.0
2026-02-12 21:33:00+00:00,353.6
2026-02-12 21:34:00+00:00,352.8
2026-02-12 21:35:00+00:00,386.42857142857144
2026-02-12 21:36:00+00:00,450.1666666666667
2026-02-12 21:37:00+00:00,421.1
2026-02-12 21:38:00+00:00,348.6666666666667
2026-02-12 21:39:00+00:00,355.2
2026-02-12 21:40:00+00:00,352.0
2026-02-12 21:41:00+00:00,354.0
2026-02-12 21:42:00+00:00,419.8181818181818
2026-02-12 21:43:00+00:00,445.0
2026-02-12 21:44:00+00:00,390.2
2026-02-12 21:45:00+00:00,355.5
2026-02-12 21:46:00+00:00,354.0
2026-02-12 21:47:00+00:00,349.0
2026-02-12 21:48:00+00:00,394.0
2026-02-12 21:49:00+00:00,453.6666666666667
2026-02-12 21:50:00+00:00,522.3333333333334
2026-02-12 21:51:00+00:00,626.4285714285714
2026-02-12 21:52:00+00:00,676.0
2026-02-12 21:53:00+00:00,693.0
2026-02-12 21:54:00+00:00,709.0
2026-02-12 21:55:00+00:00,806.1818181818181
2026-02-12 21:56:00+00:00,831.6666666666666
2026-02-12 21:57:00+00:00,753.7272727272727
2026-02-12 21:58:00+00:00,726.0
2026-02-12 21:59:00+00:00,761.6
2026-02-12 22:00:00+00:00,683.9333333333333
2026-02-12 22:01:00+00:00,512.5882352941177
2026-02-12 22:02:00+00:00,534.3333333333334
2026-02-12 22:03:00+00:00,460.25
2026-02-12 22:04:00+00:00,401.0
2026-02-12 22:05:00+00:00,395.0
2026-02-12 22:08:00+00:00,472.90909090909093
2026-02-12 22:10:00+00:00,450.25
2026-02-12 22:14:00+00:00,461.3333333333333
2026-02-12 22:15:00+00:00,497.25
2026-02-12 22:16:00+00:00,419.375
2026-02-12 22:17:00+00:00,378.0
2026-02-12 22:21:00+00:00,447.14285714285717
2026-02-12 22:22:00+00:00,474.0
2026-02-12 22:23:00+00:00,400.14285714285717
2026-02-12 22:25:00+00:00,379.5
2026-02-12 22:26:00+00:00,375.44444444444446
2026-02-12 22:27:00+00:00,417.5
2026-02-12 22:28:00+00:00,483.0
2026-02-12 22:29:00+00:00,422.625
2026-02-12 22:30:00+00:00,360.0
2026-02-12 22:31:00+00:00,374.85714285714283
2026-02-12 22:32:00+00:00,378.0
2026-02-12 22:33:00+00:00,395.0
2026-02-12 22:34:00+00:00,421.0
2026-02-12 22:36:00+00:00,412.3
2026-02-12 22:37:00+00:00,379.3
2026-02-12 22:38:00+00:00,384.6666666666667
2026-02-12 22:40:00+00:00,431.4
2026-02-12 22:41:00+00:00,477.3333333333333
2026-02-12 22:42:00+00:00,413.75
2026-02-12 22:43:00+00:00,375.75
2026-02-12 22:44:00+00:00,379.8333333333333
2026-02-12 22:45:00+00:00,388.5
2026-02-12 22:47:00+00:00,470.84615384615387
2026-02-12 22:48:00+00:00,483.0
2026-02-12 22:49:00+00:00,402.09090909090907
2026-02-12 22:53:00+00:00,451.0
2026-02-12 22:54:00+00:00,496.75
2026-02-12 22:55:00+00:00,430.1666666666667
2026-02-12 22:56:00+00:00,377.44444444444446
2026-02-12 23:00:00+00:00,470.3333333333333
2026-02-12 23:02:00+00:00,413.2
2026-02-12 23:06:00+00:00,457.875
2026-02-12 23:07:00+00:00,501.0
2026-02-12 23:08:00+00:00,417.6666666666667
2026-02-12 23:09:00+00:00,378.0
2026-02-12 23:13:00+00:00,471.27272727272725
2026-02-12 23:14:00+00:00,483.0
2026-02-12 23:15:00+00:00,433.5
2026-02-12 23:19:00+00:00,434.4
2026-02-12 23:20:00+00:00,492.0
2026-02-12 23:21:00+00:00,430.2
2026-02-12 23:22:00+00:00,395.0
2026-02-12 23:26:00+00:00,467.0833333333333
2026-02-12 23:27:00+00:00,483.0
2026-02-12 23:28:00+00:00,431.85714285714283
2026-02-12 23:32:00+00:00,455.0
2026-02-12 23:33:00+00:00,496.75
2026-02-12 23:34:00+00:00,435.0
2026-02-12 23:35:00+00:00,395.0
2026-02-12 23:39:00+00:00,468.3076923076923
2026-02-12 23:41:00+00:00,402.09090909090907
2026-02-12 23:45:00+00:00,457.875
